id,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corporation,MSFT,5.771192,202.45,-1.4,(-0.69%)
2,Apple Inc.,AAPL,5.768026,373.91,-5.33,(-1.41%)
3,Amazon.com Inc.,AMZN,4.778483,"3,004.10",-51.11,(-1.67%)
4,Facebook Inc. Class A,FB,2.095959,231.4,-2.1,(-0.90%)
5,Alphabet Inc. Class A,GOOGL,1.714591,"1,506.00",-23.43,(-1.53%)
6,Alphabet Inc. Class C,GOOG,1.672027,"1,505.00",-25.2,(-1.65%)
7,Johnson & Johnson,JNJ,1.448781,146.65,-0.53,(-0.36%)
8,Berkshire Hathaway Inc. Class B,BRK.B,1.395744,194.3,2.16,-1.12%
9,Visa Inc. Class A,V,1.241221,193.49,-3.42,(-1.74%)
10,Procter & Gamble Company,PG,1.168078,127.99,1.67,-1.32%
11,JPMorgan Chase & Co.,JPM,1.103159,97.5,0.6,-0.62%
12,Home Depot Inc.,HD,1.074615,265.5,-1.92,(-0.72%)
13,UnitedHealth Group Incorporated,UNH,1.058065,299.01,0.41,-0.14%
14,Mastercard Incorporated Class A,MA,1.018246,303,-5.86,(-1.90%)
15,NVIDIA Corporation,NVDA,0.958072,413.11,-3.75,(-0.90%)
16,Verizon Communications Inc.,VZ,0.879251,57.5,0.63,-1.11%
17,Netflix Inc.,NFLX,0.814458,489.75,-5.9,(-1.19%)
18,Adobe Inc.,ADBE,0.785807,432.3,-4.8,(-1.10%)
19,Walt Disney Company,DIS,0.784944,116.25,-0.06,(-0.05%)
20,Intel Corporation,INTC,0.784169,48.95,-0.62,(-1.25%)
21,PayPal Holdings Inc,PYPL,0.780795,177.4,-0.58,(-0.33%)
22,AT&T Inc.,T,0.779731,29.68,0.39,-1.33%
23,Pfizer Inc.,PFE,0.779122,39.11,1.57,-4.18%
24,Cisco Systems Inc.,CSCO,0.747732,46.47,-0.72,(-1.53%)
25,Merck & Co. Inc.,MRK,0.74415,79.99,1.06,-1.34%
26,Comcast Corporation Class A,CMCSA,0.741291,43.27,-0.29,(-0.67%)
27,PepsiCo Inc.,PEP,0.712937,137.39,-0.28,(-0.20%)
28,Bank of America Corp,BAC,0.704239,24.41,0.27,-1.12%
29,Coca-Cola Company,KO,0.70016,48.26,-0.22,(-0.45%)
30,Exxon Mobil Corporation,XOM,0.696208,43.57,-0.5,(-1.13%)
31,Walmart Inc.,WMT,0.694164,131.61,0.4,-0.30%
32,Abbott Laboratories,ABT,0.660825,99.7,-0.29,(-0.29%)
33,salesforce.com inc.,CRM,0.64284,189.52,-1.44,(-0.75%)
34,AbbVie Inc.,ABBV,0.639763,97.07,-0.09,(-0.09%)
35,Chevron Corporation,CVX,0.635057,89.25,-1.79,(-1.97%)
36,Thermo Fisher Scientific Inc.,TMO,0.61009,407.5,-5.94,(-1.44%)
37,McDonald's Corporation,MCD,0.559095,196.47,-4.78,(-2.38%)
38,Amgen Inc.,AMGN,0.557494,250.58,-3.07,(-1.21%)
39,Costco Wholesale Corporation,COST,0.54043,327.99,0.39,-0.12%
40,Accenture Plc Class A,ACN,0.531528,222.18,-1.14,(-0.51%)